,title,link,room_size,price,situation,renters_total,renters_male,renters_female,wanted_male,wanted_female,no_gender_limit,caution,date,address
10,"Zimmer Frei , Zwischenmiete! only Girls !!",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Sendling.5637626.html,20.0,680.0,"3er WG (2w,0m)",3,0,2,0,1,,1515.0,"
                            frei ab:
                01.11.2018
                
            
            
            
            
                            ","
                            Hundertpfundweg
                        

            81373 München Ludwigsvorstadt-Isarvorstadt
            
        "
11,"Tolle Lage in Schwabing, München gemeinsam erleben!",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwabing-Freimann.5058099.html,12.0,200.0,"7er WG (0w,6m)",7,6,0,1,0,,1200.0,"
                            frei ab:
                01.10.2018
                
            
            
            
            
                            ","
                            turnerstraße
                        

            81827 München Trudering
            
        "
12,voll ausgestattetes Zimmer 15qm hell und ruhig in Hadern,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Hadern.3436897.html,16.0,530.0,"2er WG (0w,1m)",2,1,0,0,1,,-2.0,"
                            frei ab:
                26.09.2018
                
            
                            frei bis:
                01.10.2019
                
            
            
            
                            ","
                            Hofanger 22a
                        

            81735 München Ramersdorf-Perlach
            
        "
13,"Helles, ruhiges , sonniges Zimmer zum Innenhof",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Ludwigsvorstadt-Isarvorstadt.1190177.html,18.0,680.0,"4er WG (3w,0m)",4,0,3,0,1,,200.0,"
                            frei ab:
                01.10.2018
                
            
            
            
            
                            ","
                            Lindenstraße 10
                        

            86922 München Eresing/Geltendorf
            
        "
14,Möbliertes WG-Zimmer in komplett saniertem Altbau - 14qm in super Lage am Pariser Platz,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Au-Haidhausen.6068422.html,14.0,730.0,"2er WG (0w,1m)",2,1,0,0,0,,200.0,"
                            frei ab:
                01.10.2018
                
            
                            frei bis:
                30.10.2018
                
            
            
            
                            ","
                            Kunreuthstraße
                        

            81249 München Aubing-Lochhausen-Langwied
            
        "
15,Zimmer zum Innenhof mit Blick zum Kastanienbaum,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Ludwigsvorstadt-Isarvorstadt.1159604.html,23.0,750.0,"4er WG (3w,0m)",4,0,3,0,1,,990.0,"
                            frei ab:
                01.12.2018
                
            
                            frei bis:
                01.06.2020
                
            
            
            
                            ","
                            Aschheimer Str. 12
                        

            81671 München Berg am Laim
            
        "
16,2er WG zentral - Zimmer 16 m2 mit 30m2 Balkon - am Westpark,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Ludwigsvorstadt-Isarvorstadt.5873396.html,16.0,595.0,"2er WG (1w,0m)",2,0,1,0,0,,200.0,"
                            frei ab:
                01.10.2018
                
            
                            frei bis:
                30.10.2018
                
            
            
            
                            ","
                            Kunreuthstraße 
                        

            81249 München Aubing-Lochhausen-Langwied
            
        "
17,Ein zimmer frei in Wladtrudering für ein Jahr.,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Trudering.6888895.html,18.0,675.0,"5er WG (1w,3m)",5,3,1,0,0,,1500.0,"
                            frei ab:
                01.10.2018
                
            
            
            
            
                            ","
                            Elsenheimerstraße
                        

            80687 München Laim
            
        "
18,WG-Zimmer in großem Einfamilienhaus,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Ramersdorf-Perlach.6943513.html,16.0,650.0,"5er WG (0w,0m)",5,0,0,0,0,,1200.0,"
                            frei ab:
                27.10.2018
                
            
                            frei bis:
                31.12.2018
                
            
            
            
                            ","
                            #Schyrenplatz 7
                        

            80469 München Au-Haidhausen
            
        "
19,WG Zimmer in neuem WG-Haus / S-Bahn-Bereich S4 bei Geltendorf,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Eresing-Geltendorf.6781187.html,15.0,599.0,"6er WG (1w,3m)",6,3,1,0,0,,600.0,"
                            frei ab:
                25.09.2018
                
            
                            frei bis:
                31.12.2018
                
            
                            
                Übernachtung
                
            
            
                            ","
                            #Schyrenplatz 7
                        

            80469 München Au-Haidhausen
            
        "
20,Wg-Zimmer in großem Haus mit Gartenblick,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Ramersdorf-Perlach.6943430.html,11.0,580.0,"5er WG (0w,0m)",5,0,0,0,0,,-2.0,"
                            frei ab:
                25.10.2018
                
            
                            frei bis:
                01.10.2019
                
            
            
            
                            ","
                            Hofanger 22a
                        

            81735 München Ramersdorf-Perlach
            
        "
21,"Ideal f.Praktikum b.BMW/MAN/MTU, möbliertes Zi.mit Miniküche+VDSL",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Milbertshofen-Am-Hart.1834610.html,15.0,697.0,"3er WG (0w,2m)",3,2,0,1,0,,1378.0,"
                            frei ab:
                01.11.2018
                
            
            
            
            
                            ","
                            Wolfoltstr.
                        

            80935 München Milbertshofen-Am Hart
            
        "
22,Helles  Zimmer  /   30 qm  /   Balkon  /  Schwabing-Nord  /  U-Bahn-U2  (Ring 3),https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwabing-Nord--naehe-BMW-Innovations-Zentrum.470230.html,30.0,480.0,"3er WG (1w,1m)",3,1,1,0,1,,0.0,"
                            frei ab:
                01.10.2018
                
            
                            frei bis:
                31.12.2018
                
            
            
            
                            ","
                            Rothpletzstrasse 
                        

            80937 München Schwabing Nord / nähe BMW Innovations-Zentrum
            
        "
23,"Möbliertes Zimmer, 2er WG am Westpark",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwanthalerhoehe-Laim.6943416.html,17.0,440.0,"2er WG (1w,0m)",2,0,1,0,0,,-2.0,"
                            frei ab:
                31.10.2018
                
            
            
            
            
                            ","
                            Schnaderböckstraße
                        

            80339 München Schwanthalerhöhe-Laim
            
        "
24,Ruhiges Zimmer mit eigenem Bad in City Loft /Maxvorstadt,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Maxvorstadt.5887678.html,27.0,987.0,"2er WG (1w,0m)",2,0,1,0,0,,600.0,"
                            frei ab:
                01.12.2018
                
            
            
            
            
                            ","
                            Fürstentstr. 00
                        

            80333 München Maxvorstadt
            
        "
25,WG-Zimmer mit Balkon und Fußbodenheizung in München zu vermieten,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Forstenried.6943370.html,12.0,800.0,"3er WG (0w,2m)",3,2,0,0,0,,1400.0,"
                            frei ab:
                01.10.2018
                
            
                            frei bis:
                30.03.2019
                
            
            
            
                            ","
                            Kreuzhofstraße 6
                        

            81476 München Forstenried
            
        "
26,WG Zimmer in schöner Neubau-Wohnung / MUC-Ramersdorf /Zwischenmiete,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Ramersdorf-Perlach.6939931.html,13.0,650.0,"3er WG (1w,1m)",3,1,1,0,0,,650.0,"
                            frei ab:
                01.10.2018
                
            
                            frei bis:
                31.03.2019
                
            
            
            
                            ","
                            Rupertigaustraße
                        

            81671 München Ramersdorf-Perlach
            
        "
27,2er WG Bonner Platz - 16m2 Zimmer,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwabing-West.6842977.html,16.0,699.0,"2er WG (1w,0m)",2,0,1,0,0,,1569.0,"
                            frei ab:
                01.10.2018
                
            
            
            
            
                            ","
                            Degenfeldstraße
                        

            80803 München Schwabing-West
            
        "
28,teilmöbiliertes WG-Zimmer in netter 3-er WG zum TAUSCH gegen 1- oder 2-Zimmer Wohnung,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Bogenhausen.6943344.html,18.0,630.0,"3er WG (2w,0m)",3,0,2,0,1,,-2.0,"
                            frei ab:
                01.10.2018
                
            
            
            
                            
                Tauschangebot

                
                ","
                            Richard-Strauß-Straße 52
                        

            81677 München Bogenhausen
            
        "
29,Möbliertes 16 qm² in Giesing,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Obergiesing.4680486.html,16.0,650.0,"2er WG (0w,1m)",2,1,0,1,0,,-2.0,"
                            frei ab:
                01.11.2018
                
            
                            frei bis:
                31.12.2018
                
            
            
            
                            ","
                            Weißenseestraße 34
                        

            81539 München Obergiesing
            
        "
30,Möbliertes WG-Zimmer in geräumigen Haus mit großem Garten,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Unterhaching.6787124.html,14.0,700.0,"3er WG (0w,2m)",3,2,0,0,0,,500.0,"
                            frei ab:
                01.10.2018
                
            
            
            
            
                            ","
                            Leuschnerstraße 00
                        

            82008 München Unterhaching
            
        "
31,Mansardenzimmer mit eigener Toilette,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Forstenried-Fuerstenried.6940835.html,12.0,520.0,"4er WG (3w,0m)",4,0,3,0,0,,520.0,"
                            frei ab:
                01.12.2018
                
            
            
            
            
                            ","
                            Nähe Schweizer Platz
                        

            81475 München Forstenried-Fürstenried
            
        "
32,"Zimmer, 15 qm Schwabing Mitte, ohne DECT, ohne Wlan",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwabing-West.5651064.html,15.0,326.0,"3er WG (1w,1m)",3,1,1,0,0,,840.0,"
                            frei ab:
                01.10.2018
                
            
            
            
            
                            ","
                            Hohenzollernster.56
                        

            80801 München Schwabing-West
            
        "
33,16 qm Zimmer in netter zweier WG,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Obergiesing.6394025.html,16.0,574.0,"2er WG (1w,0m)",2,0,1,0,0,,1260.0,"
                            frei ab:
                15.10.2018
                
            
            
            
            
                            ","
                            Maxlrainstraße 4
                        

            81541 München Obergiesing
            
        "
34,"Helles, sonniges Zimmer in München-Solln direkt an der S7",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Solln.6920148.html,16.0,470.0,"4er WG (3w,0m)",4,0,3,0,1,,780.0,"
                            frei ab:
                01.10.2018
                
            
            
            
            
                            ","
                            Ascholdingerstrasse 23e
                        

            81479 München Solln
            
        "
35,2er Studenten-WG in direkter Uni-Lage,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Maxvorstadt.6943230.html,18.0,400.0,"2er WG (1w,0m)",2,0,1,0,0,,-2.0,"
                            frei ab:
                15.10.2018
                
            
            
            
            
                            ","
                            Rambergstraße 4
                        

            80799 München Maxvorstadt
            
        "
36,Möbliertes 10qm Zimmer in U5 nähe,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Ramersdorf-Perlach.2528590.html,10.0,435.0,"4er WG (0w,2m)",4,2,0,0,0,,600.0,"
                            frei ab:
                25.09.2018
                
            
            
            
            
                            ","
                            Heinrich-Wielandstr. 64b
                        

            81735 München Ramersdorf-Perlach
            
        "
37,MitbewohnerIn für 2er WG am Hirschgarten gesucht,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Neuhausen-Nymphenburg.6480260.html,16.0,770.0,"2er WG (0w,1m)",2,1,0,0,0,,1500.0,"
                            frei ab:
                15.10.2018
                
            
            
            
            
                            ","
                            Birketweg
                        

            80639 München Neuhausen-Nymphenburg
            
        "
38,14qm Schlafzimmer mit 22qm Wohnzimmer über den Dächern Münchens,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Neuhausen-Nymphenburg.6943204.html,14.0,700.0,"2er WG (0w,1m)",2,1,0,0,0,,-2.0,"
                            frei ab:
                01.11.2018
                
            
            
            
            
                            ","
                            Andreestraße
                        

            80634 München Neuhausen-Nymphenburg
            
        "
39,Wg-Zimmer in Milbertshofen,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Milbertshofen-Am-Hart.6769166.html,20.0,650.0,"2er WG (0w,1m)",2,1,0,0,0,,500.0,"
                            frei ab:
                15.10.2018
                
            
                            frei bis:
                15.12.2018
                
            
            
            
                            ","
                            Paracelsusstr. 12
                        

            80939 München Milbertshofen-Am Hart
            
        "
